name,description,img
Nexus 9,"HTC Nexus 9 Android tablet. Announced Oct 2014. Features 8.9″  display, Nvidia Tegra K1 chipset, 8 MP primary camera, 1.6 MP front camera, 6700 mAh battery, 32 GB storage, 2 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/htc-nexus-9.jpg
One M9+,"HTC One M9+ Android smartphone. Announced Apr 2015. Features 5.2″  display, MT6795T Helio X10 chipset, Dual: 20 MP (f/2.2, 28mm, 1/2.4″, 1.2µm) + 2.1 MP primary camera, 4 MP front camera, 2840 mAh battery, 32 GB storage, 3 GB RAM, To be confirmed.",https://fdn2.gsmarena.com/vv/bigpic/htc-one-m9-plus-new.jpg
Wildfire E2,"HTC Wildfire E2 Android smartphone. Announced Aug 2020. Features 6.22″  display, MT6762D Helio P22 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e2.jpg
U Play,"HTC U Play Android smartphone. Announced Jan 2017. Features 5.2″  display, MT6755 Helio P10 chipset, 16 MP primary camera, 16 MP front camera, 2500 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass (unspecified version).",https://fdn2.gsmarena.com/vv/bigpic/htc-u-play.jpg
Wildfire E1 lite,"HTC Wildfire E1 lite Android smartphone. Announced Sep 2020. Features 5.45″  display, MT6761D Helio A20 chipset, 3000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e1-lite.jpg
Desire 12,"HTC Desire 12 Android smartphone. Announced Mar 2018. Features 5.5″  display, MT6739 chipset, 13 MP primary camera, 5 MP front camera, 2730 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-desire-12.jpg
Exodus 1s,"HTC Exodus 1s Android smartphone. Announced Oct 2019. Features 5.7″  display, Snapdragon 435 chipset, 3075 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-exodus-1s-.jpg
Desire,"HTC Desire Android smartphone. Announced Feb 2010. Features 3.7″  display, Snapdragon S1 chipset, 5 MP primary camera, 1400 mAh battery, 576 MB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/htc-bravo.jpg
Desire 12+,"HTC Desire 12+ Android smartphone. Announced Mar 2018. Features 6.0″  display, Snapdragon 450 chipset, Dual: 13 MP (f/2.2, PDAF) + 2 MP primary camera, 8 MP front camera, 2965 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-desire-12-plus.jpg
U11 Life,"HTC U11 Life Android smartphone. Announced Nov 2017. Features 5.2″  display, Snapdragon 630 chipset, 16 MP primary camera, 16 MP front camera, 2600 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/htc-u11-life-r1.jpg
Desire 530,"HTC Desire 530 Android smartphone. Announced Feb 2016. Features 5.0″  display, Snapdragon 210 chipset, 8 MP primary camera, 5 MP front camera, 2200 mAh battery, 16 GB storage, 1.5 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-a16-desire-530.jpg
HD2,"HTC HD2 Windows Mobile smartphone. Announced Oct 2009. Features 4.3″  display, Snapdragon S1 chipset, 5 MP primary camera, 1230 mAh battery, 448 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-hd2-new.jpg
U19e,"HTC U19e Android smartphone. Announced Jun 2019. Features 6.0″  display, Snapdragon 710 chipset, 3930 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass (unspecified).",https://fdn2.gsmarena.com/vv/bigpic/htc-u19e.jpg
10 evo,"HTC 10 evo Android smartphone. Announced Nov 2016. Features 5.5″  display, Snapdragon 810 chipset, 16 MP primary camera, 8 MP front camera, 3200 mAh battery, 64 GB storage, 3 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/htc-10-evo.jpg
Desire 601,"HTC Desire 601 Android smartphone. Announced Sep 2013. Features 4.5″  display, Snapdragon 400 chipset, 5 MP primary camera, 2100 mAh battery, 8 GB storage, 1000 MB RAM, Corning Gorilla Glass 2.",https://fdn2.gsmarena.com/vv/bigpic/htc-desire-601.jpg
Wildfire,"HTC Wildfire Android smartphone. Announced May 2010. Features 3.2″  display, Snapdragon S1 chipset, 5 MP primary camera, 1300 mAh battery, 384 MB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-ofic.jpg
Wildfire E,"HTC Wildfire E Android smartphone. Announced Aug 2019. Features 5.45″  display, Unisoc SC9863A chipset, 3000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e1-lite.jpg
Desire 728 dual sim,"HTC Desire 728 dual sim Android smartphone. Announced Sep 2015. Features 5.5″  display, MT6753 chipset, 13 MP primary camera, 5 MP front camera, 2800 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-desire-728.jpg
