name,description,img
1.4,"Nokia 1.4 Android smartphone. Announced Feb 2021. Features 6.52″  display, Snapdragon 215 chipset, 4000 mAh battery, 64 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-14.jpg
3.4,"Nokia 3.4 Android smartphone. Announced Sep 2020. Features 6.39″  display, Snapdragon 460 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-34.jpg
8000 4G,"Nokia 8000 4G smartphone. Announced Nov 2020. Features 2.8″  display, Snapdragon 210 chipset, 1500 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-8800-4g.jpg
7 plus,"Nokia 7 plus Android smartphone. Announced Feb 2018. Features 6.0″  display, Snapdragon 660 chipset, Dual: 12 MP (f/1.8, 25mm, 1.4µm) + 13 MP primary camera, 16 MP front camera, 3800 mAh battery, 64 GB storage, 6 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/nokia-7-plus-.jpg
8,"Nokia 8 Android smartphone. Announced Aug 2017. Features 5.3″  display, Snapdragon 835 chipset, Dual: 13 MP primary camera, 13 MP front camera, 3090 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/nokia-8-.jpg
5,"Nokia 5 Android smartphone. Announced Feb 2017. Features 5.2″  display, Snapdragon 430 chipset, 13 MP primary camera, 8 MP front camera, 3000 mAh battery, 16 GB storage, 3 GB RAM, Corning Gorilla Glass (unspecified version).",https://fdn2.gsmarena.com/vv/bigpic/nokia-5n.jpg
G300,"Nokia G300 Android smartphone. Announced Oct 2021. Features 6.52″  display, Snapdragon 480 5G chipset, 4470 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-g300-5g.jpg
110 4G,"Nokia 110 4G phone. Announced Jun 2021. Features 1.8″  display, 1020 mAh battery, 48 MB storage, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-110-4g.jpg
3,"Nokia 3 Android smartphone. Announced Feb 2017. Features 5.0″  display, MT6737 chipset, 2630 mAh battery, 16 GB storage, 2 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/nokia-3.jpg
3310 (2017),"Nokia 3310 (2017) phone. Announced Feb 2017. Features 2.4″  display, 2 MP primary camera, 1200 mAh battery, 16 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-3310-2017-orig.jpg
5310 (2020),"Nokia 5310 (2020) phone. Announced Mar 2020. Features 2.4″  display, MT6260A chipset, 1200 mAh battery, 16 MB storage, 8 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-5310.jpg
225 4G,"Nokia 225 4G phone. Announced Oct 2020. Features 2.4″  display, Unisoc UMS9117 chipset, 1150 mAh battery, 128 MB storage, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-225-4g.jpg
C01 Plus,"Nokia C01 Plus Android smartphone. Announced Jun 2021. Features 5.45″  display, Unisoc SC9863A chipset, 3000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-c01-plus.jpg
2,"Nokia 2 Android smartphone. Announced Oct 2017. Features 5.0″  display, Snapdragon 212 chipset, 8 MP primary camera, 5 MP front camera, 4100 mAh battery, 8 GB storage, 1000 MB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/nokia2-.jpg
2720 Flip,"Nokia 2720 Flip smartphone. Announced Sep 2019. Features 2.8″  display, Snapdragon 205 chipset, 1500 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-2720f-0.jpg
