name,description,img
Moto G20,"Motorola Moto G20 Android smartphone. Announced Apr 2021. Features 6.5″  display, Unisoc T700 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g20-.jpg
Moto G100,"Motorola Moto G100 Android smartphone. Announced Mar 2021. Features 6.7″  display, Snapdragon 870 5G chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g100-1.jpg
Edge (2021),"Motorola Edge (2021) Android smartphone. Announced Aug 2021. Features 6.8″  display, Snapdragon 778G 5G chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-2021.jpg
Moto G Power (2021),"Motorola Moto G Power (2021) Android smartphone. Announced Jan 2021. Features 6.6″  display, Snapdragon 662 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g9-power-2021.jpg
Moto G30,"Motorola Moto G30 Android smartphone. Announced Feb 2021. Features 6.5″  display, Snapdragon 662 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g30.jpg
Moto G7 Power,"Motorola Moto G7 Power Android smartphone. Announced Feb 2019. Features 6.2″  display, Snapdragon 632 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 3 (market dependent).",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g7-power.jpg
Moto G6,"Motorola Moto G6 Android smartphone. Announced Apr 2018. Features 5.7″  display, Snapdragon 450 chipset, Dual: 12 MP (f/1.8, PDAF) + 5 MP primary camera, 8 MP or 16 MP front camera, 3000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g6-r1.jpg
Razr 5G,"Motorola Razr 5G Android smartphone. Announced Sep 2020. Features 6.2″  display, Snapdragon 765G 5G chipset, 2800 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-razr-5g-brush-gold.jpg
Moto G50,"Motorola Moto G50 Android smartphone. Announced Mar 2021. Features 6.5″  display, Snapdragon 480 5G chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g50-r.jpg
Moto G5 Plus,"Motorola Moto G5 Plus Android smartphone. Announced Feb 2017. Features 5.2″  display, Snapdragon 625 chipset, 12 MP primary camera, 5 MP front camera, 3000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g5-plus1.jpg
